,item,work,itemLabel,workLabel
0,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
1,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
2,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
3,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
4,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
5,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
6,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
7,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
8,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
9,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
10,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
11,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
12,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
13,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
14,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
15,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
0,http://www.wikidata.org/entity/Q3893154,http://www.wikidata.org/entity/Q4958762,Medeiros e Albuquerque,Brazilian Republic Anthem
0,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q248678,Gottfried Keller,Q248678
1,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q936322,Gottfried Keller,The People of Seldwyla
2,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1167919,Gottfried Keller,The Banner of the Upright Seven
3,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1198871,Gottfried Keller,Green Henry
4,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1613790,Gottfried Keller,Heroic Landscape
5,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1904882,Gottfried Keller,Martin Salander
0,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q353180,Georg Büchner,Lenz
1,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q657215,Georg Büchner,Woyzeck
2,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q896537,Georg Büchner,The Hessian Courier
3,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q920590,Georg Büchner,Danton's Death
4,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q1751800,Georg Büchner,Leonce and Lena
0,http://www.wikidata.org/entity/Q7788880,http://www.wikidata.org/entity/Q2460003,Thomas Davis,A Nation Once Again
0,http://www.wikidata.org/entity/Q128027,http://www.wikidata.org/entity/Q51252,Giorgio Vasari,Uffizi Gallery
1,http://www.wikidata.org/entity/Q128027,http://www.wikidata.org/entity/Q1645493,Giorgio Vasari,"Lives of the Most Excellent Painters, Sculptors, and Architects"
0,http://www.wikidata.org/entity/Q312978,http://www.wikidata.org/entity/Q11143573,Faxian,Faxian's Biography
0,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q41359,Kurt Vonnegut,Cat's Cradle
1,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q265954,Kurt Vonnegut,Slaughterhouse-Five
2,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q788777,Kurt Vonnegut,Breakfast of Champions
0,http://www.wikidata.org/entity/Q360383,http://www.wikidata.org/entity/Q16495369,Gil Vicente,Auto da Barca do Inferno
0,http://www.wikidata.org/entity/Q26825,http://www.wikidata.org/entity/Q746583,Herodotus,Histories
0,http://www.wikidata.org/entity/Q1680654,http://www.wikidata.org/entity/Q106486531,James Justinian Morier,An Italian Ancedote
0,http://www.wikidata.org/entity/Q517634,http://www.wikidata.org/entity/Q7759830,George Farquhar,The Recruiting Officer
0,http://www.wikidata.org/entity/Q6779620,http://www.wikidata.org/entity/Q28428110,Mary Gaunt,Dave's Sweetheart
1,http://www.wikidata.org/entity/Q6779620,http://www.wikidata.org/entity/Q28428115,Mary Gaunt,Kirkham's Find
2,http://www.wikidata.org/entity/Q6779620,http://www.wikidata.org/entity/Q28428138,Mary Gaunt,Deadman's: An Australian Story
0,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q63685444,Lucy Aikin,Epistles on Women
1,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q80224914,Lucy Aikin,Memoirs of the Court of Queen Elizabeth
2,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q80224916,Lucy Aikin,The Memoirs of the Court of King James the First
3,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q106242514,Lucy Aikin,The Swiss Family Robinson: in Words of One Syllable
4,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q106243108,Lucy Aikin,The pilgrim's progress: in words of one syllable
5,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q106243809,Lucy Aikin,Robinson Crusoe: in words of one syllable
6,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q106244124,Lucy Aikin,Aesop's Fables: In Words of One Syllable
7,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q106256392,Lucy Aikin,Sandford and Merton; in words of one syllable
0,http://www.wikidata.org/entity/Q296244,http://www.wikidata.org/entity/Q728702,Vittorio Alfieri,Saul
1,http://www.wikidata.org/entity/Q296244,http://www.wikidata.org/entity/Q3606339,Vittorio Alfieri,Agamemnon
2,http://www.wikidata.org/entity/Q296244,http://www.wikidata.org/entity/Q3618694,Vittorio Alfieri,Antigone
3,http://www.wikidata.org/entity/Q296244,http://www.wikidata.org/entity/Q3858928,Vittorio Alfieri,Myrrha
0,http://www.wikidata.org/entity/Q5343517,http://www.wikidata.org/entity/Q106477474,Edward Howard,The Marine Ghost
1,http://www.wikidata.org/entity/Q5343517,http://www.wikidata.org/entity/Q108500601,Edward Howard,"Ardent Troughton, the Wrecked Merchant"
0,http://www.wikidata.org/entity/Q41309,http://www.wikidata.org/entity/Q597388,Franz Liszt,Hamlet
1,http://www.wikidata.org/entity/Q41309,http://www.wikidata.org/entity/Q901873,Franz Liszt,Dante Symphony
2,http://www.wikidata.org/entity/Q41309,http://www.wikidata.org/entity/Q911706,Franz Liszt,Mazeppa
3,http://www.wikidata.org/entity/Q41309,http://www.wikidata.org/entity/Q3040118,Franz Liszt,Hungarian Rhapsody No. 2
4,http://www.wikidata.org/entity/Q41309,http://www.wikidata.org/entity/Q5840361,Franz Liszt,Hungarian Rhapsody No. 1
0,http://www.wikidata.org/entity/Q9333,http://www.wikidata.org/entity/Q134425,Laozi,Tao Te Ching
0,http://www.wikidata.org/entity/Q194402,http://www.wikidata.org/entity/Q18503004,Joshua Reynolds,Captain Arthur Blake
0,http://www.wikidata.org/entity/Q22714,http://www.wikidata.org/entity/Q828542,Karl May,Winnetou
0,http://www.wikidata.org/entity/Q3946632,http://www.wikidata.org/entity/Q106466560,Samuel Lover,Handy Andy
0,http://www.wikidata.org/entity/Q331845,http://www.wikidata.org/entity/Q1249393,Hjalmar Söderberg,Doctor Glas
1,http://www.wikidata.org/entity/Q331845,http://www.wikidata.org/entity/Q5553253,Hjalmar Söderberg,Gertrud
2,http://www.wikidata.org/entity/Q331845,http://www.wikidata.org/entity/Q5774496,Hjalmar Söderberg,Historietter
3,http://www.wikidata.org/entity/Q331845,http://www.wikidata.org/entity/Q7763349,Hjalmar Söderberg,The Serious Game
4,http://www.wikidata.org/entity/Q331845,http://www.wikidata.org/entity/Q10501736,Hjalmar Söderberg,Q10501736
5,http://www.wikidata.org/entity/Q331845,http://www.wikidata.org/entity/Q10577829,Hjalmar Söderberg,Martin Birck's Youth
0,http://www.wikidata.org/entity/Q489193,http://www.wikidata.org/entity/Q901356,Harry Harrison,Make Room! Make Room!
0,http://www.wikidata.org/entity/Q76483,http://www.wikidata.org/entity/Q688426,Rainer Maria Rilke,Duino Elegies
1,http://www.wikidata.org/entity/Q76483,http://www.wikidata.org/entity/Q968544,Rainer Maria Rilke,Die Aufzeichnungen des Malte Laurids Brigge
2,http://www.wikidata.org/entity/Q76483,http://www.wikidata.org/entity/Q1169275,Rainer Maria Rilke,The carousel
3,http://www.wikidata.org/entity/Q76483,http://www.wikidata.org/entity/Q1216303,Rainer Maria Rilke,Sonnets to Orpheus
4,http://www.wikidata.org/entity/Q76483,http://www.wikidata.org/entity/Q87203846,Rainer Maria Rilke,Worpswede
0,http://www.wikidata.org/entity/Q552372,http://www.wikidata.org/entity/Q226822,Johnston McCulley,Zorro
0,http://www.wikidata.org/entity/Q82248,http://www.wikidata.org/entity/Q735319,John Galsworthy,The Forsyte Saga
1,http://www.wikidata.org/entity/Q82248,http://www.wikidata.org/entity/Q3467424,John Galsworthy,Justice
2,http://www.wikidata.org/entity/Q82248,http://www.wikidata.org/entity/Q23747074,John Galsworthy,The Silver Box
3,http://www.wikidata.org/entity/Q82248,http://www.wikidata.org/entity/Q23747075,John Galsworthy,Strife
4,http://www.wikidata.org/entity/Q82248,http://www.wikidata.org/entity/Q56328007,John Galsworthy,Saint's Progress
0,http://www.wikidata.org/entity/Q154782,http://www.wikidata.org/entity/Q1093419,Adelbert von Chamisso,Peter Schlemihl
0,http://www.wikidata.org/entity/Q555291,http://www.wikidata.org/entity/Q1473417,Giambattista Basile,Pentamerone
1,http://www.wikidata.org/entity/Q555291,http://www.wikidata.org/entity/Q113534329,Giambattista Basile,Lirici marinisti by Giambattista Basile
0,http://www.wikidata.org/entity/Q1586481,http://www.wikidata.org/entity/Q57976766,Harry Emerson Fosdick,Responsive Readings
0,http://www.wikidata.org/entity/Q1581569,http://www.wikidata.org/entity/Q63861163,Hans Ostwald,Q63861163
1,http://www.wikidata.org/entity/Q1581569,http://www.wikidata.org/entity/Q63871383,Hans Ostwald,Q63871383
2,http://www.wikidata.org/entity/Q1581569,http://www.wikidata.org/entity/Q63871394,Hans Ostwald,Q63871394
3,http://www.wikidata.org/entity/Q1581569,http://www.wikidata.org/entity/Q63884205,Hans Ostwald,Berliner Kaffeehäuser
0,http://www.wikidata.org/entity/Q332785,http://www.wikidata.org/entity/Q87143921,Persius,Satires
0,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q191663,Geoffrey Chaucer,The Canterbury Tales
1,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q662442,Geoffrey Chaucer,The House of Fame
2,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q1090634,Geoffrey Chaucer,The Book of the Duchess
3,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q1882671,Geoffrey Chaucer,The Romaunt of the Rose
4,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q2125810,Geoffrey Chaucer,The Legend of Good Women
5,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q2488701,Geoffrey Chaucer,Parlement of Foules
6,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q2527101,Geoffrey Chaucer,Troilus and Criseyde
7,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q3210522,Geoffrey Chaucer,A Treatise on the Astrolabe
8,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q3616595,Geoffrey Chaucer,Anelida and Arcite
9,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q3641569,Geoffrey Chaucer,Boece
10,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q18752837,Geoffrey Chaucer,The Complaint of Mars
11,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q124173329,Geoffrey Chaucer,The compleynt unto Pity
12,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q124173338,Geoffrey Chaucer,The compleynt of Venus
13,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/entity/Q124173348,Geoffrey Chaucer,Chaucer's complaint unto his purse
0,http://www.wikidata.org/entity/Q60584,http://www.wikidata.org/entity/Q1211320,Christian Fürchtegott Gellert,The Prayeress
1,http://www.wikidata.org/entity/Q60584,http://www.wikidata.org/entity/Q1213441,Christian Fürchtegott Gellert,Die Ehre Gottes aus der Natur
2,http://www.wikidata.org/entity/Q60584,http://www.wikidata.org/entity/Q1219978,Christian Fürchtegott Gellert,The Tender Sisters
3,http://www.wikidata.org/entity/Q60584,http://www.wikidata.org/entity/Q1221339,Christian Fürchtegott Gellert,"Dies ist der Tag, den Gott gemacht"
4,http://www.wikidata.org/entity/Q60584,http://www.wikidata.org/entity/Q15975663,Christian Fürchtegott Gellert,"Jesus lebt, mit ihm auch ich"
0,http://www.wikidata.org/entity/Q172048,http://www.wikidata.org/entity/Q355342,Terence,Adelphoe
1,http://www.wikidata.org/entity/Q172048,http://www.wikidata.org/entity/Q545258,Terence,Hecyra
2,http://www.wikidata.org/entity/Q172048,http://www.wikidata.org/entity/Q678909,Terence,Heauton Timorumenos
3,http://www.wikidata.org/entity/Q172048,http://www.wikidata.org/entity/Q1217045,Terence,Phormio
4,http://www.wikidata.org/entity/Q172048,http://www.wikidata.org/entity/Q1233598,Terence,Eunuchus
5,http://www.wikidata.org/entity/Q172048,http://www.wikidata.org/entity/Q1233645,Terence,Andria
0,http://www.wikidata.org/entity/Q294625,http://www.wikidata.org/entity/Q427110,Clifford D. Simak,Way Station
0,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q2358930,Rabindranath Tagore,Gitanjali
1,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q5087983,Rabindranath Tagore,Chaturanga
2,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q6967699,Rabindranath Tagore,Nastanirh
3,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q7285379,Rabindranath Tagore,Raja
4,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q7495629,Rabindranath Tagore,Shesher Kabita
5,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q7740074,Rabindranath Tagore,Ghare-Bhaire
6,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q7757862,Rabindranath Tagore,Dak Ghar
7,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q7912494,Rabindranath Tagore,Valmikipratibha
8,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q16386468,Rabindranath Tagore,Jogajog
9,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q27996922,Rabindranath Tagore,Noukadubi
10,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q30681934,Rabindranath Tagore,Hungry Stones
11,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q51451626,Rabindranath Tagore,Bhanusimha Thakurer Padabali
12,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/entity/Q106687739,Rabindranath Tagore,Kabuliwala
0,http://www.wikidata.org/entity/Q220883,http://www.wikidata.org/entity/Q1968531,Poul Anderson,Tau Zero
1,http://www.wikidata.org/entity/Q220883,http://www.wikidata.org/entity/Q7720276,Poul Anderson,The Broken Sword
2,http://www.wikidata.org/entity/Q220883,http://www.wikidata.org/entity/Q1968531,Poul Anderson,Tau Zero
3,http://www.wikidata.org/entity/Q220883,http://www.wikidata.org/entity/Q7720276,Poul Anderson,The Broken Sword
0,http://www.wikidata.org/entity/Q1518861,http://www.wikidata.org/entity/Q18387026,Owen Jones,Chavs: The Demonization of the Working Class
0,http://www.wikidata.org/entity/Q443325,http://www.wikidata.org/entity/Q7719328,Charles Fort,The Book of the Damned
0,http://www.wikidata.org/entity/Q3846392,http://www.wikidata.org/entity/Q57079727,Marco Praga,La porta chiusa
1,http://www.wikidata.org/entity/Q3846392,http://www.wikidata.org/entity/Q109913963,Marco Praga,Marco Praga
0,http://www.wikidata.org/entity/Q470067,http://www.wikidata.org/entity/Q3902653,Antonio Fogazzaro,The Little World of the Past
0,http://www.wikidata.org/entity/Q298242,http://www.wikidata.org/entity/Q5386821,Leigh Brackett,Eric John Stark
0,http://www.wikidata.org/entity/Q312641,http://www.wikidata.org/entity/Q651682,Frederik Pohl,Gateway
1,http://www.wikidata.org/entity/Q312641,http://www.wikidata.org/entity/Q3391635,Frederik Pohl,The Space Merchants
0,http://www.wikidata.org/entity/Q534599,http://www.wikidata.org/entity/Q3794398,Damon Knight,Hell's Pavement
1,http://www.wikidata.org/entity/Q534599,http://www.wikidata.org/entity/Q7100032,Damon Knight,Orbit
0,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q15891967,Charles Le Goffic,Q15891967
1,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q16652666,Charles Le Goffic,Q16652666
2,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q17360250,Charles Le Goffic,Q17360250
3,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q19131999,Charles Le Goffic,Q19131999
4,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q19163991,Charles Le Goffic,Q19163991
5,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q19191626,Charles Le Goffic,Q19191626
6,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q19194093,Charles Le Goffic,Q19194093
7,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q19196954,Charles Le Goffic,Q19196954
8,http://www.wikidata.org/entity/Q2714608,http://www.wikidata.org/entity/Q19213220,Charles Le Goffic,Q19213220
0,http://www.wikidata.org/entity/Q1066198,http://www.wikidata.org/entity/Q19079234,Charles Sumner,The Barbarism of Slavery
0,http://www.wikidata.org/entity/Q313185,http://www.wikidata.org/entity/Q638565,Fritz Leiber,Fafhrd and the Gray Mouser
0,http://www.wikidata.org/entity/Q93157,http://www.wikidata.org/entity/Q2520460,Eugene O'Neill,Mourning Becomes Electra
1,http://www.wikidata.org/entity/Q93157,http://www.wikidata.org/entity/Q4728760,Eugene O'Neill,All God's Chillun Got Wings
0,http://www.wikidata.org/entity/Q941810,http://www.wikidata.org/entity/Q2992437,James Hogg,The Private Memoirs and Confessions of a Justified Sinner
0,http://www.wikidata.org/entity/Q729885,http://www.wikidata.org/entity/Q16969050,Paul Carus,The Gospel of Buddha
0,http://www.wikidata.org/entity/Q237056,http://www.wikidata.org/entity/Q29042777,Lydia Koidula,Emajõe ööbik
1,http://www.wikidata.org/entity/Q237056,http://www.wikidata.org/entity/Q31275083,Lydia Koidula,Meadow Flowers
0,http://www.wikidata.org/entity/Q164047,http://www.wikidata.org/entity/Q482427,Alexander Pope,An Essay on Criticism
1,http://www.wikidata.org/entity/Q164047,http://www.wikidata.org/entity/Q1823920,Alexander Pope,The Rape of the Lock
2,http://www.wikidata.org/entity/Q164047,http://www.wikidata.org/entity/Q3855355,Alexander Pope,Messiah
3,http://www.wikidata.org/entity/Q164047,http://www.wikidata.org/entity/Q5367068,Alexander Pope,Eloisa to Abelard
0,http://www.wikidata.org/entity/Q734054,http://www.wikidata.org/entity/Q5704003,José Enrique Rodó,Ariel
0,http://www.wikidata.org/entity/Q6698403,http://www.wikidata.org/entity/Q59346127,Lucy Larcom,If I were a Sunbeam
0,http://www.wikidata.org/entity/Q233898,http://www.wikidata.org/entity/Q10958564,Sherwood Anderson,"Winesburg, Ohio"
0,http://www.wikidata.org/entity/Q248867,http://www.wikidata.org/entity/Q586831,James Blish,A Case of Conscience
1,http://www.wikidata.org/entity/Q248867,http://www.wikidata.org/entity/Q3478245,James Blish,The Seedling Stars
0,http://www.wikidata.org/entity/Q547414,http://www.wikidata.org/entity/Q3305686,Algis Budrys,Rogue Moon
1,http://www.wikidata.org/entity/Q547414,http://www.wikidata.org/entity/Q3414362,Algis Budrys,Who?
2,http://www.wikidata.org/entity/Q547414,http://www.wikidata.org/entity/Q7733246,Algis Budrys,The Falling Torch
0,http://www.wikidata.org/entity/Q37388,http://www.wikidata.org/entity/Q484511,Francis Bacon,inductive reasoning
1,http://www.wikidata.org/entity/Q37388,http://www.wikidata.org/entity/Q1233830,Francis Bacon,New Atlantis
0,http://www.wikidata.org/entity/Q4792424,http://www.wikidata.org/entity/Q80439571,Arlo Bates,The Intoxicated Ghost
0,http://www.wikidata.org/entity/Q165257,http://www.wikidata.org/entity/Q2608537,Lope de Vega,Fuenteovejuna
0,http://www.wikidata.org/entity/Q7934,http://www.wikidata.org/entity/Q6095696,Frank Herbert,Dune
0,http://www.wikidata.org/entity/Q425373,http://www.wikidata.org/entity/Q1994609,Jacques Cazotte,The Devil in Love
0,http://www.wikidata.org/entity/Q3296253,http://www.wikidata.org/entity/Q4377323,Mary Tourtel,Rupert Bear
0,http://www.wikidata.org/entity/Q4569212,http://www.wikidata.org/entity/Q7564851,William H. Armstrong,Sounder
0,http://www.wikidata.org/entity/Q291397,http://www.wikidata.org/entity/Q77328763,Fernán Caballero,Q77328763
0,http://www.wikidata.org/entity/Q2571091,http://www.wikidata.org/entity/Q51407748,Louis Figuier,Mammalia. Their various orders and habits popularly illustrated by typical species
0,http://www.wikidata.org/entity/Q144439,http://www.wikidata.org/entity/Q7476662,Bolesław Prus,The Doll
0,http://www.wikidata.org/entity/Q350552,http://www.wikidata.org/entity/Q465379,Kálmán Mikszáth,A fekete város
1,http://www.wikidata.org/entity/Q350552,http://www.wikidata.org/entity/Q794123,Kálmán Mikszáth,The Siege of Beszterce
2,http://www.wikidata.org/entity/Q350552,http://www.wikidata.org/entity/Q12045869,Kálmán Mikszáth,A Strange Marriage
3,http://www.wikidata.org/entity/Q350552,http://www.wikidata.org/entity/Q106768059,Kálmán Mikszáth,Tót atyafiak
0,http://www.wikidata.org/entity/Q3893154,http://www.wikidata.org/entity/Q4958762,Medeiros e Albuquerque,Brazilian Republic Anthem
0,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q248678,Gottfried Keller,Q248678
1,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q936322,Gottfried Keller,The People of Seldwyla
2,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1167919,Gottfried Keller,The Banner of the Upright Seven
3,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1198871,Gottfried Keller,Green Henry
4,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1613790,Gottfried Keller,Heroic Landscape
5,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1904882,Gottfried Keller,Martin Salander
0,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q353180,Georg Büchner,Lenz
1,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q657215,Georg Büchner,Woyzeck
2,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q896537,Georg Büchner,The Hessian Courier
3,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q920590,Georg Büchner,Danton's Death
4,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q1751800,Georg Büchner,Leonce and Lena
0,http://www.wikidata.org/entity/Q7788880,http://www.wikidata.org/entity/Q2460003,Thomas Davis,A Nation Once Again
0,http://www.wikidata.org/entity/Q128027,http://www.wikidata.org/entity/Q51252,Giorgio Vasari,Uffizi Gallery
1,http://www.wikidata.org/entity/Q128027,http://www.wikidata.org/entity/Q1645493,Giorgio Vasari,"Lives of the Most Excellent Painters, Sculptors, and Architects"
0,http://www.wikidata.org/entity/Q312978,http://www.wikidata.org/entity/Q11143573,Faxian,Faxian's Biography
0,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q41359,Kurt Vonnegut,Cat's Cradle
1,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q265954,Kurt Vonnegut,Slaughterhouse-Five
2,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q788777,Kurt Vonnegut,Breakfast of Champions
0,http://www.wikidata.org/entity/Q360383,http://www.wikidata.org/entity/Q16495369,Gil Vicente,Auto da Barca do Inferno
0,http://www.wikidata.org/entity/Q26825,http://www.wikidata.org/entity/Q746583,Herodotus,Histories
0,http://www.wikidata.org/entity/Q1680654,http://www.wikidata.org/entity/Q106486531,James Justinian Morier,An Italian Ancedote
0,http://www.wikidata.org/entity/Q517634,http://www.wikidata.org/entity/Q7759830,George Farquhar,The Recruiting Officer
